question,category,subcategory
Does the organization have a documented Secure Development Lifecycle (SDLC) that incorporates security considerations from the initial design phase?,Application Security,Application Design and Development
"Are security requirements explicitly defined and documented for each application development project, referencing relevant standards like NIST SP 800-53 or ISO 27001?",Application Security,Application Design and Development
Are threat modeling exercises conducted during the application design phase to identify potential security vulnerabilities and attack vectors?,Application Security,Application Design and Development
"Is there a formal process for code review, including static and dynamic analysis, performed by individuals with security expertise?",Application Security,Application Design and Development
"Are secure coding guidelines, based on industry best practices (e.g., OWASP), provided to developers and enforced during the development process?",Application Security,Application Design and Development
"Does the application design incorporate the principle of least privilege, ensuring users only have access to the resources and data necessary for their roles?",Application Security,Application Design and Development
"Are input validation techniques implemented to prevent injection attacks such as SQL injection, cross-site scripting (XSS), and command injection?",Application Security,Application Design and Development
Is proper output encoding applied to prevent XSS vulnerabilities when displaying data to users?,Application Security,Application Design and Development
"Are authentication and authorization mechanisms designed and implemented securely, incorporating multi-factor authentication (MFA) where appropriate?",Application Security,Application Design and Development
Does the application design include robust error handling and logging mechanisms to facilitate incident detection and response?,Application Security,Application Design and Development
"Is sensitive data (e.g., passwords, credit card information) encrypted both in transit and at rest, using strong encryption algorithms and key management practices?",Application Security,Application Design and Development
Are session management techniques implemented to prevent session hijacking and other session-related attacks?,Application Security,Application Design and Development
"Does the application architecture include defense-in-depth principles, such as network segmentation and firewalls, to limit the impact of potential security breaches?",Application Security,Application Design and Development
Are secure APIs used for communication between application components and external systems?,Application Security,Application Design and Development
Is access to application resources and data logged and monitored for suspicious activity?,Application Security,Application Design and Development
Are regular penetration tests and vulnerability assessments performed to identify security weaknesses in the application?,Application Security,Application Design and Development
"Does the development team follow a secure configuration management process, including version control and change management procedures?",Application Security,Application Design and Development
Are third-party libraries and components used in the application assessed for security vulnerabilities before integration?,Application Security,Application Design and Development
"Is the application designed to comply with relevant regulatory requirements, such as GDPR or HIPAA?",Application Security,Application Design and Development
Are security considerations incorporated into the application's disaster recovery and business continuity plans?,Application Security,Application Design and Development
Does the organization utilize a security champion program within the development team to promote secure coding practices and awareness?,Application Security,Application Design and Development
Is there a process for developers to report security vulnerabilities they discover during the development process?,Application Security,Application Design and Development
Are developers trained on secure coding practices and common security vulnerabilities?,Application Security,Application Design and Development
Is there a mechanism in place to automatically detect and alert on deviations from secure coding standards?,Application Security,Application Design and Development
Does the application design include mechanisms to prevent denial-of-service (DoS) attacks?,Application Security,Application Design and Development
Are rate limiting and other controls implemented to prevent abuse of application APIs?,Application Security,Application Design and Development
Is the application designed to prevent brute-force attacks on authentication mechanisms?,Application Security,Application Design and Development
Does the application handle Personally Identifiable Information (PII) in accordance with privacy regulations and organizational policies?,Application Security,Application Design and Development
Are data retention policies implemented to ensure that sensitive data is not stored longer than necessary?,Application Security,Application Design and Development
Does the application design support secure auditing and logging to facilitate forensic investigations?,Application Security,Application Design and Development
Are there automated security tests integrated into the continuous integration/continuous deployment (CI/CD) pipeline?,Application Security,Application Design and Development
Is the application designed to be resistant to social engineering attacks?,Application Security,Application Design and Development
Does the application utilize secure communication protocols such as HTTPS for all sensitive data transmissions?,Application Security,Application Design and Development
Are secure cookies used to prevent session hijacking and other cookie-related attacks?,Application Security,Application Design and Development
Does the application implement measures to prevent clickjacking attacks?,Application Security,Application Design and Development
"Is the application designed to be resilient to common web application vulnerabilities, such as cross-site request forgery (CSRF)?",Application Security,Application Design and Development
Are secure file upload mechanisms implemented to prevent malicious file uploads?,Application Security,Application Design and Development
Does the application design address potential vulnerabilities in its dependencies?,Application Security,Application Design and Development
Are security considerations included in the application's user interface (UI) design?,Application Security,Application Design and Development
Is the application designed to prevent information leakage through error messages or other channels?,Application Security,Application Design and Development
Does the development team use a secure code repository to store and manage the application's source code?,Application Security,Application Design and Development
Are access controls implemented to restrict access to the application's source code and build artifacts?,Application Security,Application Design and Development
Is the application designed to be easily updated and patched in response to security vulnerabilities?,Application Security,Application Design and Development
Does the organization have a formal vulnerability disclosure policy to handle reports of security vulnerabilities in the application?,Application Security,Application Design and Development
Are security metrics tracked and reported to management to monitor the application's security posture?,Application Security,Application Design and Development
Does the application integrate with the organization's security information and event management (SIEM) system?,Application Security,Application Design and Development
Is the application designed to be easily integrated with other security tools and technologies?,Application Security,Application Design and Development
Are security considerations documented in the application's architecture and design documentation?,Application Security,Application Design and Development
Does the organization conduct regular security audits of the application to ensure compliance with security standards and policies?,Application Security,Application Design and Development
"Is the application designed to be deployed in a secure environment, such as a hardened server or container?",Application Security,Application Design and Development
Does the organization have an established and documented Secure Development Lifecycle (SDLC) policy?,Application Security,Software Development Life Cycle
"Does the SDLC incorporate security requirements throughout all phases of development, from planning to deployment?",Application Security,Software Development Life Cycle
Are security requirements explicitly defined and documented for each software project within the SDLC?,Application Security,Software Development Life Cycle
Is a designated security champion or team responsible for overseeing and enforcing security practices within the SDLC?,Application Security,Software Development Life Cycle
Are threat modeling exercises conducted as part of the SDLC to identify potential security vulnerabilities early in the development process?,Application Security,Software Development Life Cycle
"Are secure coding standards (e.g., OWASP guidelines, CERT coding standards) adopted and enforced throughout the software development process?",Application Security,Software Development Life Cycle
Are developers trained on secure coding practices and common security vulnerabilities relevant to the technologies they use?,Application Security,Software Development Life Cycle
Does the SDLC include a process for regularly reviewing and updating security requirements and coding standards based on emerging threats and vulnerabilities?,Application Security,Software Development Life Cycle
Is static code analysis performed to automatically identify potential security flaws in the source code?,Application Security,Software Development Life Cycle
Is dynamic application security testing (DAST) conducted to identify vulnerabilities in running applications?,Application Security,Software Development Life Cycle
Are both static and dynamic analysis tools integrated into the continuous integration/continuous delivery (CI/CD) pipeline?,Application Security,Software Development Life Cycle
Does the SDLC include penetration testing by qualified security professionals to identify exploitable vulnerabilities?,Application Security,Software Development Life Cycle
"Are the results of security testing (static analysis, DAST, penetration testing) documented and tracked?",Application Security,Software Development Life Cycle
Is there a defined process for prioritizing and remediating identified security vulnerabilities based on risk?,Application Security,Software Development Life Cycle
Is verification testing performed after remediation to ensure that vulnerabilities have been effectively addressed?,Application Security,Software Development Life Cycle
Does the SDLC include a process for managing third-party components and dependencies to ensure they are secure and up-to-date?,Application Security,Software Development Life Cycle
Is a software bill of materials (SBOM) generated and maintained for each application to track all dependencies?,Application Security,Software Development Life Cycle
Are third-party libraries and components regularly scanned for known vulnerabilities?,Application Security,Software Development Life Cycle
