question,category,subcategory
"Has a Business Impact Analysis (BIA) been conducted to identify critical business functions and their dependencies, in accordance with ISO 27001 A.17.1.1?",Business Continuity and Disaster Recovery,Business Impact Analysis
"Does the BIA consider the potential impact of disruptions on confidentiality, integrity, and availability of information assets, aligning with NIST SP 800-53 CP-2?",Business Continuity and Disaster Recovery,Business Impact Analysis
Are Recovery Time Objectives (RTOs) and Recovery Point Objectives (RPOs) defined for each critical business function identified in the BIA?,Business Continuity and Disaster Recovery,Business Impact Analysis
"Is the BIA regularly reviewed and updated (at least annually or when significant business changes occur) to ensure its accuracy and relevance, as recommended by CIS Control 18?",Business Continuity and Disaster Recovery,Business Impact Analysis
Does the BIA document the maximum tolerable downtime (MTD) for each critical business function?,Business Continuity and Disaster Recovery,Business Impact Analysis
"Does the BIA identify the resources required to support each critical business function (e.g., personnel, technology, facilities, third-party services)?",Business Continuity and Disaster Recovery,Business Impact Analysis
"Has the BIA assessed the financial, operational, legal, and reputational impact of disruptions to critical business functions?",Business Continuity and Disaster Recovery,Business Impact Analysis
Does the organization have a documented methodology for conducting the BIA?,Business Continuity and Disaster Recovery,Business Impact Analysis
Are the results of the BIA used to prioritize disaster recovery and business continuity planning efforts?,Business Continuity and Disaster Recovery,Business Impact Analysis
Are stakeholders from relevant business units involved in the BIA process?,Business Continuity and Disaster Recovery,Business Impact Analysis
Does the BIA include a risk assessment to identify potential threats and vulnerabilities that could disrupt critical business functions?,Business Continuity and Disaster Recovery,Business Impact Analysis
Does the organization have a process for validating the assumptions and data used in the BIA?,Business Continuity and Disaster Recovery,Business Impact Analysis
Does the BIA consider the impact of disruptions to IT infrastructure and applications?,Business Continuity and Disaster Recovery,Business Impact Analysis
Does the BIA identify single points of failure that could disrupt critical business functions?,Business Continuity and Disaster Recovery,Business Impact Analysis
Are the findings of the BIA communicated to senior management and other relevant stakeholders?,Business Continuity and Disaster Recovery,Business Impact Analysis
Does the BIA include a gap analysis to identify areas where the organization's business continuity capabilities need improvement?,Business Continuity and Disaster Recovery,Business Impact Analysis
Does the organization have a process for tracking and monitoring the implementation of BIA recommendations?,Business Continuity and Disaster Recovery,Business Impact Analysis
Does the BIA consider the impact of disruptions to third-party service providers?,Business Continuity and Disaster Recovery,Business Impact Analysis
Are business processes mapped to the underlying IT systems and data that support them as part of the BIA?,Business Continuity and Disaster Recovery,Business Impact Analysis
Does the BIA consider the impact of disruptions to regulatory compliance?,Business Continuity and Disaster Recovery,Business Impact Analysis
Does the BIA address potential disruptions to supply chain operations?,Business Continuity and Disaster Recovery,Business Impact Analysis
"Does the BIA include scenarios for different types of disruptions (e.g., natural disasters, cyberattacks, pandemics)?",Business Continuity and Disaster Recovery,Business Impact Analysis
Are the BIA results used to inform the development of business continuity and disaster recovery plans?,Business Continuity and Disaster Recovery,Business Impact Analysis
Does the BIA consider the impact of disruptions on customer service and satisfaction?,Business Continuity and Disaster Recovery,Business Impact Analysis
Is the BIA aligned with the organization's overall risk management framework?,Business Continuity and Disaster Recovery,Business Impact Analysis
Does the organization use a standardized template or tool for conducting the BIA?,Business Continuity and Disaster Recovery,Business Impact Analysis
Are BIA findings used to justify investments in business continuity and disaster recovery capabilities?,Business Continuity and Disaster Recovery,Business Impact Analysis
Does the BIA include a process for assessing the impact of data loss or corruption?,Business Continuity and Disaster Recovery,Business Impact Analysis
Is the BIA methodology documented and readily available to relevant personnel?,Business Continuity and Disaster Recovery,Business Impact Analysis
Does the BIA consider the impact of disruptions on employee safety and well-being?,Business Continuity and Disaster Recovery,Business Impact Analysis
Does the BIA consider the impact of prolonged disruptions versus short-term outages?,Business Continuity and Disaster Recovery,Business Impact Analysis
Are insurance policies reviewed to ensure adequate coverage for potential business disruptions based on the BIA findings?,Business Continuity and Disaster Recovery,Business Impact Analysis
"Are alternative work arrangements (e.g., remote work) considered in the BIA for critical business functions?",Business Continuity and Disaster Recovery,Business Impact Analysis
Does the BIA address the potential impact of disruptions on data privacy?,Business Continuity and Disaster Recovery,Business Impact Analysis
Does the BIA consider the impact of disruptions on physical security?,Business Continuity and Disaster Recovery,Business Impact Analysis
Are legal and regulatory requirements related to business continuity considered in the BIA process?,Business Continuity and Disaster Recovery,Business Impact Analysis
Does the BIA include a communication plan to inform stakeholders about the impact of disruptions?,Business Continuity and Disaster Recovery,Business Impact Analysis
Does the organization conduct simulations or exercises to validate the BIA findings?,Business Continuity and Disaster Recovery,Business Impact Analysis
Is the BIA integrated with the organization's incident management process?,Business Continuity and Disaster Recovery,Business Impact Analysis
Are the BIA results used to determine the appropriate level of investment in security controls?,Business Continuity and Disaster Recovery,Business Impact Analysis
Does the BIA address the potential impact of disruptions on brand reputation?,Business Continuity and Disaster Recovery,Business Impact Analysis
Are key personnel trained on their roles and responsibilities in the BIA process?,Business Continuity and Disaster Recovery,Business Impact Analysis
Does the BIA consider the impact of disruptions on research and development activities?,Business Continuity and Disaster Recovery,Business Impact Analysis
Does the BIA consider the impact of disruptions on sales and marketing efforts?,Business Continuity and Disaster Recovery,Business Impact Analysis
Does the BIA consider the impact of disruptions on financial reporting?,Business Continuity and Disaster Recovery,Business Impact Analysis
