question,category,subcategory
"Does the organization have a documented change management policy that defines the scope, roles, and responsibilities for managing changes to IT systems and infrastructure (ISO 27001 A.12.1.2, NIST 800-53 CM-3)?",Change and Configuration Management,Change Control
"Is there a defined process for submitting, documenting, and prioritizing change requests (ISO 27001 A.12.1.2, NIST 800-53 CM-3)?",Change and Configuration Management,Change Control
Does the change management process include risk assessment to identify potential impacts of proposed changes (NIST 800-53 RA-3)?,Change and Configuration Management,Change Control
"Are all changes subject to a formal approval process prior to implementation, with clearly defined authorization levels (ISO 27001 A.12.1.2, NIST 800-53 CM-5)?",Change and Configuration Management,Change Control
"Does the change management process require documentation of the proposed change, the reason for the change, the impact on existing systems, and the testing plan (ISO 27001 A.12.1.2, NIST 800-53 CM-3)?",Change and Configuration Management,Change Control
"Is there a formal process for communicating planned changes to relevant stakeholders, including technical teams, business units, and end-users (ISO 27001 A.12.1.2)?",Change and Configuration Management,Change Control
"Are emergency change procedures documented and readily available for use in urgent situations (ISO 27001 A.12.1.2, NIST 800-53 CM-4)?",Change and Configuration Management,Change Control
Does the organization maintain a change schedule that provides visibility into upcoming changes and their potential impact (NIST 800-53 CM-3)?,Change and Configuration Management,Change Control
"Is there a back-out plan documented for each change in case of failure, outlining the steps to revert to the previous state (ISO 27001 A.12.1.2, NIST 800-53 CM-4)?",Change and Configuration Management,Change Control
"Are changes tested in a non-production environment before being implemented in the production environment (ISO 27001 A.12.1.2, NIST 800-53 CM-5)?",Change and Configuration Management,Change Control
Is there a process to verify the successful implementation of changes and document the results (ISO 27001 A.12.1.2)?,Change and Configuration Management,Change Control
"Does the organization use automated tools to track changes, monitor system performance, and detect unauthorized changes (CIS Control 7.4, NIST 800-53 CM-8)?",Change and Configuration Management,Change Control
"Are all changes to production systems logged and audited to provide a record of modifications (ISO 27001 A.12.4.1, NIST 800-53 AU-2)?",Change and Configuration Management,Change Control
"Is there a periodic review of change management processes to ensure effectiveness and compliance with policies (ISO 27001 A.18.2.1, NIST 800-53 CA-7)?",Change and Configuration Management,Change Control
Are change management roles and responsibilities clearly defined in job descriptions and training materials (ISO 27001 A.6.1.2)?,Change and Configuration Management,Change Control
"Does the change management process integrate with incident management procedures to ensure that incidents related to changes are properly addressed (ISO 27001 A.16.1.1, NIST 800-53 IR-4)?",Change and Configuration Management,Change Control
Are users trained on the change management process and their responsibilities in reporting issues and requesting changes (ISO 27001 A.7.2.2)?,Change and Configuration Management,Change Control
Does the organization use a formal change control board (CCB) to review and approve changes (NIST 800-53 CM-5)?,Change and Configuration Management,Change Control
Does the CCB include representatives from different departments or business units to ensure broad stakeholder input (NIST 800-53 CM-5)?,Change and Configuration Management,Change Control
Are changes classified based on their impact and risk level to determine the appropriate level of review and approval (NIST 800-53 RA-3)?,Change and Configuration Management,Change Control
"Does the change management process address changes to network devices, servers, applications, databases, and other critical IT infrastructure (ISO 27001 A.12.1.2)?",Change and Configuration Management,Change Control
"Are configuration management tools used to maintain a record of approved configurations and detect deviations from the baseline (CIS Control 5.1, NIST 800-53 CM-2)?",Change and Configuration Management,Change Control
