question,category,subcategory
"Does the organization have a documented Data Governance Policy that defines data ownership, roles, and responsibilities related to data governance and classification?",Data Governance,Data Governance and Classification
"Is there a defined process for identifying and classifying data based on its sensitivity, criticality, and legal/regulatory requirements (e.g., public, confidential, restricted)?",Data Governance,Data Governance and Classification
"Does the data classification scheme align with relevant standards like ISO 27001, NIST 800-53, and industry best practices?",Data Governance,Data Governance and Classification
"How frequently is the data classification policy reviewed and updated to reflect changes in business requirements, regulations, and threat landscape?",Data Governance,Data Governance and Classification
"Are employees trained on the organization's data classification policy and procedures, including the proper handling and protection of different data types?",Data Governance,Data Governance and Classification
"Is there a central data catalog or inventory that documents the organization's data assets, their location, classification, and ownership?",Data Governance,Data Governance and Classification
"Are data owners identified and accountable for the appropriate classification, security, and management of their respective data assets?",Data Governance,Data Governance and Classification
Does the organization have a process for regularly auditing data classification accuracy and compliance with the Data Governance Policy?,Data Governance,Data Governance and Classification
"Are there specific access controls in place based on data classification (e.g., only authorized personnel can access confidential data)?",Data Governance,Data Governance and Classification
Are data retention and disposal policies aligned with data classification and legal/regulatory requirements?,Data Governance,Data Governance and Classification
How does the organization ensure consistent data classification across different systems and applications?,Data Governance,Data Governance and Classification
Is there a defined process for handling exceptions to the data classification policy?,Data Governance,Data Governance and Classification
How are personally identifiable information (PII) and other sensitive data types specifically identified and classified?,Data Governance,Data Governance and Classification
Does the organization use automated tools or technologies to assist with data classification and discovery?,Data Governance,Data Governance and Classification
"Are data classification markings or labels consistently applied to data assets (e.g., metadata tags, watermarks)?",Data Governance,Data Governance and Classification
Is there a process for re-evaluating data classification when data is transferred between systems or shared with third parties?,Data Governance,Data Governance and Classification
Does the organization conduct data flow diagrams to understand where sensitive data resides and how it moves throughout the environment?,Data Governance,Data Governance and Classification
How is data classification integrated into the software development lifecycle (SDLC) to ensure data is properly classified from creation?,Data Governance,Data Governance and Classification
"Are there specific security controls implemented to protect highly sensitive or regulated data types, such as encryption or data masking?",Data Governance,Data Governance and Classification
How does the organization address data sovereignty and residency requirements when classifying and managing data?,Data Governance,Data Governance and Classification
Is there a defined process for data breach notification that considers the classification of the breached data?,Data Governance,Data Governance and Classification
How are data quality considerations integrated into the data governance and classification framework?,Data Governance,Data Governance and Classification
"Does the organization have a data dictionary that defines data elements, their meaning, and data quality rules?",Data Governance,Data Governance and Classification
How are structured and unstructured data handled differently in the data classification process?,Data Governance,Data Governance and Classification
Are data security roles and responsibilities clearly defined and assigned within the data governance framework?,Data Governance,Data Governance and Classification
Does the organization have a designated Data Governance Officer or team responsible for overseeing data governance activities?,Data Governance,Data Governance and Classification
How does the organization handle legacy data that may not be properly classified?,Data Governance,Data Governance and Classification
