question,category,subcategory
Does the organization maintain a documented cryptographic key management policy aligned with NIST SP 800-57?,Encryption and Key Management,Cryptographic Controls
"Are encryption algorithms and key lengths selected based on industry best practices and regularly reviewed for continued suitability (e.g., NIST recommendations)?",Encryption and Key Management,Cryptographic Controls
"Does the organization utilize hardware security modules (HSMs) or equivalent for secure key generation, storage, and management, particularly for sensitive keys?",Encryption and Key Management,Cryptographic Controls
"Are cryptographic controls implemented to protect data at rest and in transit, adhering to ISO 27001 requirements?",Encryption and Key Management,Cryptographic Controls
Is there a documented process for selecting appropriate cryptographic algorithms based on the sensitivity and classification of the data being protected?,Encryption and Key Management,Cryptographic Controls
"Are cryptographic keys rotated on a defined schedule, adhering to best practices for key lifecycle management?",Encryption and Key Management,Cryptographic Controls
Does the organization perform regular vulnerability assessments and penetration testing to identify weaknesses in cryptographic implementations?,Encryption and Key Management,Cryptographic Controls
Are digital signatures used to ensure the integrity and authenticity of critical data and software?,Encryption and Key Management,Cryptographic Controls
Is there a mechanism in place to detect and respond to unauthorized attempts to access or modify cryptographic keys?,Encryption and Key Management,Cryptographic Controls
Are cryptographic controls subject to regular audit and review to ensure effectiveness and compliance?,Encryption and Key Management,Cryptographic Controls
"Does the organization utilize strong cipher suites and protocols (e.g., TLS 1.3 or higher) for secure communications?",Encryption and Key Management,Cryptographic Controls
Are weak or deprecated cryptographic algorithms and protocols disabled to mitigate security risks?,Encryption and Key Management,Cryptographic Controls
"Is there a documented procedure for handling compromised cryptographic keys, including revocation and re-keying?",Encryption and Key Management,Cryptographic Controls
Does the organization enforce the principle of least privilege for access to cryptographic resources?,Encryption and Key Management,Cryptographic Controls
"Are cryptographic keys protected from unauthorized disclosure, modification, and destruction throughout their lifecycle?",Encryption and Key Management,Cryptographic Controls
Does the organization use approved cryptographic libraries and modules that are validated against FIPS 140-2 or equivalent standards?,Encryption and Key Management,Cryptographic Controls
"Is there a process for managing and distributing digital certificates, ensuring their validity and trustworthiness?",Encryption and Key Management,Cryptographic Controls
Are cryptographic controls integrated into the system development lifecycle (SDLC) to ensure security by design?,Encryption and Key Management,Cryptographic Controls
Does the organization provide security awareness training to personnel regarding the proper use of cryptographic controls?,Encryption and Key Management,Cryptographic Controls
"Are cryptographic controls implemented in accordance with legal and regulatory requirements, such as GDPR or HIPAA?",Encryption and Key Management,Cryptographic Controls
Is there a documented process for verifying the integrity of cryptographic libraries and tools used within the organization?,Encryption and Key Management,Cryptographic Controls
"Does the organization maintain an inventory of all cryptographic keys, including their purpose, location, and lifecycle status?",Encryption and Key Management,Cryptographic Controls
Are cryptographic keys backed up securely and stored in a separate location to ensure availability in case of disaster?,Encryption and Key Management,Cryptographic Controls
Does the organization use strong random number generators for cryptographic key generation?,Encryption and Key Management,Cryptographic Controls
Are cryptographic keys securely erased or destroyed when they are no longer needed?,Encryption and Key Management,Cryptographic Controls
Is there a process for monitoring and logging cryptographic activity to detect potential security incidents?,Encryption and Key Management,Cryptographic Controls
Does the organization perform regular key recovery exercises to ensure the ability to restore access to encrypted data in case of key loss or corruption?,Encryption and Key Management,Cryptographic Controls
Are cryptographic controls regularly updated to address newly discovered vulnerabilities?,Encryption and Key Management,Cryptographic Controls
Does the organization use code signing to verify the authenticity and integrity of software?,Encryption and Key Management,Cryptographic Controls
Is there a formal process for granting and revoking access to cryptographic resources?,Encryption and Key Management,Cryptographic Controls
Are access control lists (ACLs) used to restrict access to cryptographic keys and related resources?,Encryption and Key Management,Cryptographic Controls
Does the organization use multi-factor authentication (MFA) to protect access to cryptographic management systems?,Encryption and Key Management,Cryptographic Controls
Is there a process for securely decommissioning systems that contain cryptographic keys?,Encryption and Key Management,Cryptographic Controls
Does the organization use data masking or tokenization techniques to protect sensitive data when cryptographic encryption is not feasible?,Encryption and Key Management,Cryptographic Controls
Are cryptographic controls implemented consistently across all systems and applications?,Encryption and Key Management,Cryptographic Controls
Does the organization use digital watermarks to protect intellectual property and prevent unauthorized copying?,Encryption and Key Management,Cryptographic Controls
Is there a process for tracking and managing cryptographic exceptions and deviations from policy?,Encryption and Key Management,Cryptographic Controls
Does the organization use cryptographic hardware acceleration to improve the performance of encryption operations?,Encryption and Key Management,Cryptographic Controls
Are cryptographic keys securely transmitted when they need to be shared with authorized parties?,Encryption and Key Management,Cryptographic Controls
Does the organization use secure enclaves or trusted execution environments (TEEs) to protect cryptographic keys and sensitive data?,Encryption and Key Management,Cryptographic Controls
Is there a process for verifying the correctness of cryptographic implementations?,Encryption and Key Management,Cryptographic Controls
Does the organization use cryptographic agility to be able to quickly switch to new algorithms and protocols in response to emerging threats?,Encryption and Key Management,Cryptographic Controls
Are cryptographic controls documented in sufficient detail to allow for independent verification and audit?,Encryption and Key Management,Cryptographic Controls
Does the organization have a designated individual or team responsible for managing cryptographic controls?,Encryption and Key Management,Cryptographic Controls
Are cryptographic controls aligned with the organization's overall security architecture and risk management strategy?,Encryption and Key Management,Cryptographic Controls
Does the organization participate in industry forums and information sharing initiatives to stay up-to-date on the latest cryptographic threats and best practices?,Encryption and Key Management,Cryptographic Controls
Are cryptographic controls tested as part of the organization's disaster recovery plan?,Encryption and Key Management,Cryptographic Controls
Does the organization have a process for reporting and resolving cryptographic security incidents?,Encryption and Key Management,Cryptographic Controls
Are cryptographic controls regularly reviewed and updated based on lessons learned from security incidents?,Encryption and Key Management,Cryptographic Controls
Does the organization use a centralized key management system to manage cryptographic keys across the enterprise?,Encryption and Key Management,Cryptographic Controls
"Does your organization have a documented key management policy that outlines procedures for key generation, storage, distribution, rotation, and destruction, aligning with NIST SP 800-53 or ISO 27001?",Encryption and Key Management,Key Management
"Are cryptographic keys stored securely, using hardware security modules (HSMs) or equivalent protection mechanisms, as recommended by industry best practices?",Encryption and Key Management,Key Management
"Is access to cryptographic keys strictly controlled and based on the principle of least privilege, in accordance with CIS Control 6?",Encryption and Key Management,Key Management
"Does your organization enforce regular key rotation policies, based on the sensitivity of the data being protected and regulatory requirements?",Encryption and Key Management,Key Management
"Are procedures in place to securely destroy cryptographic keys when they are no longer needed, preventing unauthorized access to encrypted data?",Encryption and Key Management,Key Management
"How does your organization manage cryptographic keys used for data encryption at rest, ensuring that they are protected against unauthorized access and compromise?",Encryption and Key Management,Key Management
