question,category,subcategory
Does the organization have a documented anti-virus and malware control policy?,Endpoint Security,Anti-virus and Malware Control
"Is anti-virus software deployed on all applicable endpoint devices (e.g., laptops, desktops, servers)?",Endpoint Security,Anti-virus and Malware Control
Is the anti-virus software configured to perform real-time scanning of files and processes?,Endpoint Security,Anti-virus and Malware Control
How frequently are anti-virus signature definitions updated?,Endpoint Security,Anti-virus and Malware Control
Is there a process to verify the successful deployment and update of anti-virus software across all endpoints?,Endpoint Security,Anti-virus and Malware Control
Does the anti-virus software include heuristic analysis capabilities to detect unknown malware?,Endpoint Security,Anti-virus and Malware Control
Are scheduled scans configured on endpoint devices to proactively identify malware?,Endpoint Security,Anti-virus and Malware Control
Are users permitted to disable or bypass anti-virus software on their endpoint devices?,Endpoint Security,Anti-virus and Malware Control
Is there a centralized console for managing and monitoring anti-virus deployments?,Endpoint Security,Anti-virus and Malware Control
Does the organization use a host-based intrusion prevention system (HIPS) in conjunction with anti-virus software?,Endpoint Security,Anti-virus and Malware Control
How are malware detections and alerts managed and investigated?,Endpoint Security,Anti-virus and Malware Control
Is there a defined incident response procedure for handling malware infections?,Endpoint Security,Anti-virus and Malware Control
Are users trained on how to recognize and avoid phishing attempts and other social engineering tactics?,Endpoint Security,Anti-virus and Malware Control
Does the organization conduct regular phishing simulations to assess user awareness?,Endpoint Security,Anti-virus and Malware Control
"Are external media devices (e.g., USB drives) scanned for malware before being used on organizational systems?",Endpoint Security,Anti-virus and Malware Control
Is there a process to block or restrict the execution of unauthorized software on endpoint devices?,Endpoint Security,Anti-virus and Malware Control
Does the organization utilize application whitelisting to control which applications can run?,Endpoint Security,Anti-virus and Malware Control
Are software restriction policies or similar mechanisms in place to prevent the execution of malicious scripts?,Endpoint Security,Anti-virus and Malware Control
Is there a vulnerability management program to identify and remediate software vulnerabilities that could be exploited by malware?,Endpoint Security,Anti-virus and Malware Control
Are systems regularly patched with the latest security updates to address known vulnerabilities?,Endpoint Security,Anti-virus and Malware Control
Does the organization monitor for indicators of compromise (IOCs) related to malware infections?,Endpoint Security,Anti-virus and Malware Control
Is there a process to isolate infected systems from the network to prevent the spread of malware?,Endpoint Security,Anti-virus and Malware Control
"Does the anti-virus solution provide reporting capabilities for malware detections, scans, and updates?",Endpoint Security,Anti-virus and Malware Control
Are anti-virus logs regularly reviewed to identify potential security incidents?,Endpoint Security,Anti-virus and Malware Control
"How is the effectiveness of the anti-virus solution evaluated (e.g., through penetration testing or red teaming exercises)?",Endpoint Security,Anti-virus and Malware Control
