question,category,subcategory
"Does the organization have a defined Risk Management Framework (RMF) that aligns with industry best practices (e.g., ISO 27005, NIST SP 800-30)?",Governance and Risk Management,Risk Management
Is there a documented process for identifying and classifying information security risks to the organization's assets?,Governance and Risk Management,Risk Management
How frequently are formal information security risk assessments conducted across the organization?,Governance and Risk Management,Risk Management
Does the organization define and maintain a risk appetite and risk tolerance level for information security risks?,Governance and Risk Management,Risk Management
Are risk assessment methodologies consistently applied across different departments and business units?,Governance and Risk Management,Risk Management
Is there a documented process for assigning ownership and accountability for identified information security risks?,Governance and Risk Management,Risk Management
How does the organization prioritize identified information security risks for remediation or mitigation?,Governance and Risk Management,Risk Management
"Does the organization use a risk register or similar tool to track identified risks, their status, and assigned owners?",Governance and Risk Management,Risk Management
Are risk treatment plans developed and implemented for all identified risks exceeding the organization's risk tolerance?,Governance and Risk Management,Risk Management
Are risk treatment plans regularly reviewed and updated to ensure their effectiveness?,Governance and Risk Management,Risk Management
Does the organization conduct vulnerability assessments and penetration testing to identify potential security weaknesses?,Governance and Risk Management,Risk Management
How are vulnerabilities identified through assessments prioritized for remediation?,Governance and Risk Management,Risk Management
Are vulnerability scan results reviewed and acted upon in a timely manner?,Governance and Risk Management,Risk Management
Does the organization use threat intelligence feeds to stay informed about emerging threats and vulnerabilities?,Governance and Risk Management,Risk Management
How is threat intelligence integrated into the organization's risk assessment and incident response processes?,Governance and Risk Management,Risk Management
Does the organization have a process for managing and tracking security exceptions to established policies and standards?,Governance and Risk Management,Risk Management
"Are security exceptions documented, reviewed, and approved by appropriate stakeholders?",Governance and Risk Management,Risk Management
Does the organization have a process for monitoring the effectiveness of implemented security controls?,Governance and Risk Management,Risk Management
How are control deficiencies identified and addressed?,Governance and Risk Management,Risk Management
Does the organization conduct regular security audits to assess compliance with internal policies and external regulations?,Governance and Risk Management,Risk Management
Are audit findings tracked and remediated in a timely manner?,Governance and Risk Management,Risk Management
Does the organization have a process for reporting information security risks and incidents to senior management and relevant stakeholders?,Governance and Risk Management,Risk Management
Is there a mechanism in place for employees to report suspected security breaches or vulnerabilities without fear of reprisal?,Governance and Risk Management,Risk Management
Does the organization provide information security risk management training to employees?,Governance and Risk Management,Risk Management
How does the organization ensure that third-party vendors and service providers have adequate security controls in place?,Governance and Risk Management,Risk Management
Are third-party security risks assessed as part of the overall risk management program?,Governance and Risk Management,Risk Management
Does the organization conduct due diligence on potential vendors to assess their security posture?,Governance and Risk Management,Risk Management
Are security requirements included in contracts with third-party vendors?,Governance and Risk Management,Risk Management
How does the organization monitor the security performance of third-party vendors?,Governance and Risk Management,Risk Management
Is there a formal process for documenting and reviewing Business Impact Analyses (BIAs)?,Governance and Risk Management,Risk Management
How are the results of BIAs used to inform the risk management process?,Governance and Risk Management,Risk Management
How are privacy risks related to Personally Identifiable Information (PII) or other sensitive data managed and mitigated?,Governance and Risk Management,Risk Management
"Does the organization comply with applicable data privacy regulations (e.g., GDPR, CCPA)?",Governance and Risk Management,Risk Management
"How are risks associated with emerging technologies (e.g., cloud computing, IoT) assessed and managed?",Governance and Risk Management,Risk Management
