question,category,subcategory
"Does the organization conduct annual security awareness training for all employees, contractors, and third-party personnel?",Human Resources Security,Security Awareness and Training
"Does the security awareness training program cover topics such as phishing, malware, social engineering, password security, and data protection?",Human Resources Security,Security Awareness and Training
Is the security awareness training program tailored to the specific roles and responsibilities of employees?,Human Resources Security,Security Awareness and Training
Does the organization use phishing simulations to test employee awareness and identify areas for improvement?,Human Resources Security,Security Awareness and Training
Is there a process in place to track and monitor employee completion of security awareness training?,Human Resources Security,Security Awareness and Training
"Are refresher security awareness training sessions conducted on a regular basis (e.g., quarterly, semi-annually)?",Human Resources Security,Security Awareness and Training
Does the organization have a documented security awareness training policy?,Human Resources Security,Security Awareness and Training
Does the security awareness training program address the importance of reporting security incidents?,Human Resources Security,Security Awareness and Training
Is there a mechanism for employees to ask questions and receive clarification on security-related topics?,Human Resources Security,Security Awareness and Training
"Does the organization provide security awareness training in multiple languages, as needed?",Human Resources Security,Security Awareness and Training
Does the security awareness training program cover the organization's acceptable use policy?,Human Resources Security,Security Awareness and Training
Is there a process in place to update the security awareness training program based on emerging threats and vulnerabilities?,Human Resources Security,Security Awareness and Training
"Does the organization use a variety of training methods to engage employees (e.g., videos, interactive modules, quizzes)?",Human Resources Security,Security Awareness and Training
Is security awareness training integrated into the employee onboarding process?,Human Resources Security,Security Awareness and Training
Does the security awareness training program address the risks associated with mobile devices and remote work?,Human Resources Security,Security Awareness and Training
Does the organization conduct periodic assessments to evaluate the effectiveness of the security awareness training program?,Human Resources Security,Security Awareness and Training
Is there a process in place to provide targeted training to employees who exhibit risky behavior?,Human Resources Security,Security Awareness and Training
Does the security awareness training program cover the organization's data breach notification policy?,Human Resources Security,Security Awareness and Training
Is there a designated individual or team responsible for developing and delivering security awareness training?,Human Resources Security,Security Awareness and Training
"Does the security awareness training program comply with relevant industry standards and regulations (e.g., ISO 27001, NIST SP 800-53)?",Human Resources Security,Security Awareness and Training
"Does the training program emphasize the importance of strong password practices, including complexity and rotation?",Human Resources Security,Security Awareness and Training
"Are employees trained on how to identify and report suspicious emails, links, and attachments?",Human Resources Security,Security Awareness and Training
Does the security awareness training cover the risks associated with social media and online activity?,Human Resources Security,Security Awareness and Training
Is there a process for employees to receive security updates and alerts?,Human Resources Security,Security Awareness and Training
Does the organization have a security awareness campaign to promote a security-conscious culture?,Human Resources Security,Security Awareness and Training
Is the security awareness training program reviewed and approved by senior management?,Human Resources Security,Security Awareness and Training
Does the organization have a process in place to address security awareness gaps identified during audits or assessments?,Human Resources Security,Security Awareness and Training
Is there a mechanism for employees to provide feedback on the security awareness training program?,Human Resources Security,Security Awareness and Training
Does the security awareness training program cover the organization's policies on data privacy and confidentiality?,Human Resources Security,Security Awareness and Training
Does the organization use gamification techniques to enhance engagement in security awareness training?,Human Resources Security,Security Awareness and Training
"Are employees trained on the risks associated with removable media (e.g., USB drives)?",Human Resources Security,Security Awareness and Training
Does the security awareness training program address the importance of physical security?,Human Resources Security,Security Awareness and Training
Is there a process in place to provide security awareness training to temporary employees and interns?,Human Resources Security,Security Awareness and Training
Does the organization track the number of security incidents reported by employees?,Human Resources Security,Security Awareness and Training
Does the security awareness training program cover the organization's incident response plan?,Human Resources Security,Security Awareness and Training
Is there a process in place to provide security awareness training to employees who are promoted or change roles?,Human Resources Security,Security Awareness and Training
Does the security awareness training program address the legal and ethical implications of security breaches?,Human Resources Security,Security Awareness and Training
Does the organization have a policy on the use of personal devices for work purposes?,Human Resources Security,Security Awareness and Training
Is there a mechanism for employees to anonymously report security concerns?,Human Resources Security,Security Awareness and Training
Does the security awareness training program cover the risks associated with cloud computing?,Human Resources Security,Security Awareness and Training
Are employees trained on the importance of securing their workstations and mobile devices?,Human Resources Security,Security Awareness and Training
"Does the organization use posters, newsletters, and other communication channels to reinforce security awareness messages?",Human Resources Security,Security Awareness and Training
Does the security awareness training program address the risks associated with insider threats?,Human Resources Security,Security Awareness and Training
Is there a process in place to provide security awareness training to executives and senior management?,Human Resources Security,Security Awareness and Training
Does the organization have a security champions program to promote security awareness within different departments?,Human Resources Security,Security Awareness and Training
Is there a mechanism for employees to receive recognition for their contributions to security awareness?,Human Resources Security,Security Awareness and Training
Does the security awareness training program cover the organization's policies on data classification and handling?,Human Resources Security,Security Awareness and Training
Does the organization have a formal security awareness training budget?,Human Resources Security,Security Awareness and Training
Is there a process in place to evaluate the return on investment of the security awareness training program?,Human Resources Security,Security Awareness and Training
"Does the security awareness training program integrate with other security initiatives, such as vulnerability management and incident response?",Human Resources Security,Security Awareness and Training
"Does the organization conduct background checks on all new hires, including temporary staff and contractors, prior to granting access to sensitive information or systems (ISO 27001 A.7.1.1)?",Human Resources Security,Personnel Security
Does the organization have a defined process for validating the accuracy and completeness of information provided by candidates during the hiring process (NIST SP 800-53 AC-6)?,Human Resources Security,Personnel Security
Are employees required to sign confidentiality agreements or non-disclosure agreements (NDAs) upon hiring and annually thereafter (ISO 27001 A.7.2.1)?,Human Resources Security,Personnel Security
"Are security roles and responsibilities clearly defined and documented for all employees, especially those with access to sensitive data (CIS Control 5.1)?",Human Resources Security,Personnel Security
Does the organization provide security awareness training to all new employees as part of their onboarding process (ISO 27001 A.7.2.2)?,Human Resources Security,Personnel Security
Are employees provided with role-specific security training based on their access privileges and responsibilities (NIST SP 800-53 AT-3)?,Human Resources Security,Personnel Security
"Does the organization conduct regular security awareness training for all employees, covering topics such as phishing, password security, and data handling (CIS Control 14.1)?",Human Resources Security,Personnel Security
"Is there a formal process for managing employee terminations, including revocation of access rights, return of company property, and exit interviews (ISO 27001 A.7.3.1)?",Human Resources Security,Personnel Security
Does the termination process include disabling all user accounts and removing access to physical and logical resources immediately upon termination (NIST SP 800-53 AC-2(7))?,Human Resources Security,Personnel Security
Is there a process to ensure that departing employees are reminded of their confidentiality obligations and any post-employment restrictions (ISO 27001 A.7.3.2)?,Human Resources Security,Personnel Security
