question,category,subcategory
"Does the organization have a documented access control policy that defines the principles and procedures for granting, managing, and revoking access rights?",Identity and Access Management,Access Control
"Is access to information assets restricted based on the principle of least privilege, granting users only the access necessary to perform their job functions?",Identity and Access Management,Access Control
"Are access control lists (ACLs) or similar mechanisms implemented to enforce access restrictions on systems, applications, and data?",Identity and Access Management,Access Control
"Is there a formal process for requesting, approving, and granting access to systems and data, including documented approval workflows?",Identity and Access Management,Access Control
"Are user access rights reviewed and recertified periodically (e.g., quarterly, annually) to ensure they remain appropriate and aligned with job roles?",Identity and Access Management,Access Control
Is there a process in place to promptly revoke or modify access rights when an employee's role changes or upon termination of employment?,Identity and Access Management,Access Control
"Are strong authentication methods (e.g., multi-factor authentication) required for accessing sensitive systems and data?",Identity and Access Management,Access Control
"Are password policies enforced, including requirements for password complexity, minimum length, and regular password changes?",Identity and Access Management,Access Control
"Is there a process to manage privileged access rights, such as those granted to system administrators or database administrators?",Identity and Access Management,Access Control
Are privileged accounts subject to stricter access controls and monitoring than regular user accounts?,Identity and Access Management,Access Control
"Is the use of shared accounts discouraged, and are individual accounts required for each user to ensure accountability?",Identity and Access Management,Access Control
Are default passwords changed immediately upon system installation and configuration?,Identity and Access Management,Access Control
Is access to systems and data logged and monitored to detect unauthorized access attempts or suspicious activity?,Identity and Access Management,Access Control
Are audit logs regularly reviewed to identify and investigate potential security incidents?,Identity and Access Management,Access Control
"Is there a process to manage access to cloud-based resources and applications, ensuring appropriate access controls are in place?",Identity and Access Management,Access Control
Are role-based access control (RBAC) principles implemented to simplify access management and reduce the risk of errors?,Identity and Access Management,Access Control
Is segregation of duties enforced to prevent any single individual from having excessive control over critical processes or systems?,Identity and Access Management,Access Control
"Are physical access controls in place to restrict access to data centers, server rooms, and other sensitive areas?",Identity and Access Management,Access Control
Are visitors to secure areas required to sign in and be escorted by authorized personnel?,Identity and Access Management,Access Control
Is there a process to manage access for third-party vendors or contractors who require access to the organization's systems or data?,Identity and Access Management,Access Control
Are third-party access rights reviewed and revoked promptly upon completion of their engagement?,Identity and Access Management,Access Control
Is access control integrated with identity management systems to streamline user provisioning and deprovisioning?,Identity and Access Management,Access Control
Are access control policies and procedures regularly reviewed and updated to reflect changes in the organization's business requirements and threat landscape?,Identity and Access Management,Access Control
Does the organization conduct regular security audits and penetration tests to assess the effectiveness of access control measures?,Identity and Access Management,Access Control
Are vulnerabilities related to access control promptly remediated based on their risk level?,Identity and Access Management,Access Control
Are users provided with security awareness training on access control policies and procedures?,Identity and Access Management,Access Control
Is there a formal incident response plan that addresses security incidents related to unauthorized access?,Identity and Access Management,Access Control
Are access controls tested during system development and deployment to ensure they function as intended?,Identity and Access Management,Access Control
Is there a process for managing access to sensitive data based on data classification levels?,Identity and Access Management,Access Control
Are data loss prevention (DLP) measures implemented to prevent unauthorized data exfiltration?,Identity and Access Management,Access Control
Are access controls in place to prevent unauthorized modification or deletion of data?,Identity and Access Management,Access Control
Does the organization use multi-factor authentication (MFA) for remote access to the network?,Identity and Access Management,Access Control
Is there a documented process for managing emergency access to systems and data?,Identity and Access Management,Access Control
"Are access control mechanisms aligned with relevant regulatory requirements and industry standards (e.g., ISO 27001, NIST SP 800-53)?",Identity and Access Management,Access Control
Is there a process to ensure that users understand their responsibilities regarding access control?,Identity and Access Management,Access Control
Does the organization use access control tools to automate access management tasks?,Identity and Access Management,Access Control
Is there a process for managing access to sensitive information held by third-party service providers?,Identity and Access Management,Access Control
Are service accounts managed and secured with appropriate access controls?,Identity and Access Management,Access Control
Is the principle of separation of duties applied to sensitive roles and responsibilities?,Identity and Access Management,Access Control
"Are access rights based on temporary, need-based access when appropriate?",Identity and Access Management,Access Control
Is there a procedure to validate and approve access rule changes prior to implementation?,Identity and Access Management,Access Control
"Are conditional access policies implemented based on location, device or user behavior?",Identity and Access Management,Access Control
Is the guest wifi access separate from the corporate network?,Identity and Access Management,Access Control
Is there a policy to require secure disposal or sanitization of devices when their lifecycle has ended?,Identity and Access Management,Access Control
Is there a process for tracking user access to critical resources?,Identity and Access Management,Access Control
Is there a documented procedure for reviewing and updating access control configurations?,Identity and Access Management,Access Control
Are all users required to accept a policy that address secure remote access?,Identity and Access Management,Access Control
Is the process of providing access rights regularly audited to ensure compliance?,Identity and Access Management,Access Control
Are alerts generated for failed authentication attempts?,Identity and Access Management,Access Control
Does the organization have a documented password policy that is reviewed and updated at least annually?,Identity and Access Management,Password Policy and Authentication Procedures
"Does the password policy enforce a minimum password length (e.g., 12 characters or greater)?",Identity and Access Management,Password Policy and Authentication Procedures
"Does the password policy require the use of a combination of uppercase and lowercase letters, numbers, and special characters?",Identity and Access Management,Password Policy and Authentication Procedures
Does the organization prohibit the reuse of previous passwords?,Identity and Access Management,Password Policy and Authentication Procedures
"Is there a mechanism in place to prevent users from choosing easily guessable passwords (e.g., dictionary words, personal information)?",Identity and Access Management,Password Policy and Authentication Procedures
"Does the organization enforce regular password changes (e.g., every 90 days or less)?",Identity and Access Management,Password Policy and Authentication Procedures
Does the organization require users to change default passwords upon initial login?,Identity and Access Management,Password Policy and Authentication Procedures
"Are passwords stored using a strong cryptographic hashing algorithm (e.g., bcrypt, Argon2)?",Identity and Access Management,Password Policy and Authentication Procedures
Is Multi-Factor Authentication (MFA) required for all users accessing sensitive systems and data?,Identity and Access Management,Password Policy and Authentication Procedures
"What MFA methods are supported by the organization (e.g., TOTP, SMS, hardware tokens, biometrics)?",Identity and Access Management,Password Policy and Authentication Procedures
"Is MFA enforced for privileged accounts (e.g., administrators, root users)?",Identity and Access Management,Password Policy and Authentication Procedures
Is there a process for managing and revoking MFA factors when users leave the organization or their devices are compromised?,Identity and Access Management,Password Policy and Authentication Procedures
Are password managers permitted or encouraged for users to securely store and manage their passwords?,Identity and Access Management,Password Policy and Authentication Procedures
Does the organization provide training and awareness programs to educate users about password security best practices?,Identity and Access Management,Password Policy and Authentication Procedures
Are users prohibited from sharing their passwords with others?,Identity and Access Management,Password Policy and Authentication Procedures
"Are users prohibited from writing down or storing passwords in insecure locations (e.g., sticky notes, plain text files)?",Identity and Access Management,Password Policy and Authentication Procedures
Does the organization have a process for securely resetting passwords when users forget them?,Identity and Access Management,Password Policy and Authentication Procedures
Is the password reset process protected against unauthorized access and account takeover attempts?,Identity and Access Management,Password Policy and Authentication Procedures
Are failed login attempts monitored and logged to detect potential brute-force attacks?,Identity and Access Management,Password Policy and Authentication Procedures
Is account lockout enforced after a certain number of failed login attempts?,Identity and Access Management,Password Policy and Authentication Procedures
"Does the organization use a centralized authentication system (e.g., Active Directory, LDAP) to manage user accounts and passwords?",Identity and Access Management,Password Policy and Authentication Procedures
Are privileged accounts managed separately from regular user accounts?,Identity and Access Management,Password Policy and Authentication Procedures
Is the principle of least privilege applied to access rights and permissions?,Identity and Access Management,Password Policy and Authentication Procedures
"Are access rights reviewed and recertified on a regular basis (e.g., every 6 months or annually)?",Identity and Access Management,Password Policy and Authentication Procedures
Is there a process for promptly disabling or removing user accounts when employees leave the organization or change roles?,Identity and Access Management,Password Policy and Authentication Procedures
Does the organization have a policy regarding the use of personal devices for accessing company resources?,Identity and Access Management,Password Policy and Authentication Procedures
"If personal devices are allowed, are they required to meet certain security requirements (e.g., password protection, encryption, antivirus software)?",Identity and Access Management,Password Policy and Authentication Procedures
"Is biometric authentication (e.g., fingerprint scanning, facial recognition) used as an authentication factor?",Identity and Access Management,Password Policy and Authentication Procedures
Are biometric authentication methods securely implemented and protected against spoofing?,Identity and Access Management,Password Policy and Authentication Procedures
Does the organization use adaptive authentication techniques to dynamically adjust authentication requirements based on risk factors?,Identity and Access Management,Password Policy and Authentication Procedures
"Is the organization compliant with relevant industry standards and regulations related to password policy and authentication procedures (e.g., NIST, ISO 27001, PCI DSS)?",Identity and Access Management,Password Policy and Authentication Procedures
Does the organization perform regular audits and penetration tests to assess the effectiveness of its password policy and authentication procedures?,Identity and Access Management,Password Policy and Authentication Procedures
Is the organization's password policy readily accessible to all employees?,Identity and Access Management,Password Policy and Authentication Procedures
Does the organization use role-based access control (RBAC) to manage user permissions?,Identity and Access Management,Password Policy and Authentication Procedures
Is there a formal onboarding and offboarding process that includes access control considerations?,Identity and Access Management,Password Policy and Authentication Procedures
Does the organization have a process for managing service accounts and application credentials?,Identity and Access Management,Password Policy and Authentication Procedures
Are service accounts subject to the same password policy requirements as user accounts?,Identity and Access Management,Password Policy and Authentication Procedures
Are there controls in place to prevent lateral movement within the network after a successful authentication?,Identity and Access Management,Password Policy and Authentication Procedures
Does the organization use session timeout mechanisms to automatically log users out after a period of inactivity?,Identity and Access Management,Password Policy and Authentication Procedures
Is session hijacking protection implemented to prevent unauthorized access to active user sessions?,Identity and Access Management,Password Policy and Authentication Procedures
Does the organization monitor for unusual or suspicious login activity?,Identity and Access Management,Password Policy and Authentication Procedures
"Is there a documented incident response plan for password-related security incidents (e.g., compromised accounts, password breaches)?",Identity and Access Management,Password Policy and Authentication Procedures
Does the organization provide secure password reset methods like security questions or email verification?,Identity and Access Management,Password Policy and Authentication Procedures
Are password recovery mechanisms tested regularly to ensure functionality and security?,Identity and Access Management,Password Policy and Authentication Procedures
Are strong session management controls enforced to prevent unauthorized session reuse?,Identity and Access Management,Password Policy and Authentication Procedures
Are authentication protocols regularly reviewed and updated to address known vulnerabilities?,Identity and Access Management,Password Policy and Authentication Procedures
Is there a formal exception process for users unable to comply with certain password policy requirements?,Identity and Access Management,Password Policy and Authentication Procedures
Is there a dedicated team or individual responsible for managing the organization's password policy and authentication infrastructure?,Identity and Access Management,Password Policy and Authentication Procedures
Is there a security awareness program that includes instructions on avoiding phishing attacks related to passwords?,Identity and Access Management,Password Policy and Authentication Procedures
"Is MFA bypass allowed? If so, under what circumstances and with what compensating controls?",Identity and Access Management,Password Policy and Authentication Procedures
What is the process for reporting suspected password compromises and other security incidents?,Identity and Access Management,Password Policy and Authentication Procedures
How is access to legacy systems with weak authentication protocols managed?,Identity and Access Management,Password Policy and Authentication Procedures
"Does the organization have a documented policy defining the use and management of privileged accounts (ISO 27001, A.9.2.6)?",Identity and Access Management,Privileged Access Management
Are privileged access rights granted based on the principle of least privilege and business need (NIST 800-53 AC-6)?,Identity and Access Management,Privileged Access Management
"Are privileged user accounts subject to multi-factor authentication (MFA) for all access, including local and remote (CIS Control 6.1)?",Identity and Access Management,Privileged Access Management
"Is there a centralized vault or system for managing privileged credentials, including passwords and SSH keys?",Identity and Access Management,Privileged Access Management
Are privileged sessions monitored and recorded for audit purposes (NIST 800-53 AU-12)?,Identity and Access Management,Privileged Access Management
"Is there a defined process for regularly reviewing and recertifying privileged access rights (ISO 27001, A.9.2.6)?",Identity and Access Management,Privileged Access Management
Are generic or shared privileged accounts prohibited; is each privileged user assigned a unique account?,Identity and Access Management,Privileged Access Management
Is there a process to automatically disable or remove privileged access when an employee changes roles or is terminated?,Identity and Access Management,Privileged Access Management
Does the organization utilize a privileged access management (PAM) solution to manage and control privileged access?,Identity and Access Management,Privileged Access Management
