question,category,subcategory
"Does the organization have a documented and regularly reviewed Incident Response Plan (IRP) based on industry best practices (e.g., NIST SP 800-61)?",Incident Management,Incident Response
Is there a defined process for identifying and classifying security incidents according to their severity and potential impact?,Incident Management,Incident Response
Does the IRP clearly define roles and responsibilities for incident response team members?,Incident Management,Incident Response
"Are incident response procedures regularly tested through simulations, tabletop exercises, or full-scale drills?",Incident Management,Incident Response
"Is there a designated incident response team (IRT) comprised of individuals from relevant departments (e.g., IT, Security, Legal, Communications)?",Incident Management,Incident Response
Are incident response team members provided with adequate training on incident handling procedures and relevant technologies?,Incident Management,Incident Response
"Does the organization maintain a current inventory of assets, including hardware, software, and data, to facilitate incident investigation and response?",Incident Management,Incident Response
"Are there established communication channels and protocols for reporting security incidents internally and externally (e.g., to law enforcement, regulatory bodies)?",Incident Management,Incident Response
"Does the IRP include procedures for preserving evidence related to security incidents, ensuring chain of custody, and conducting forensic analysis?",Incident Management,Incident Response
Are there established procedures for containing security incidents to prevent further damage or compromise?,Incident Management,Incident Response
"Does the organization have access to tools and technologies necessary for incident detection, analysis, containment, and eradication (e.g., SIEM, EDR, firewall)?",Incident Management,Incident Response
"Are there procedures in place for eradicating malware, vulnerabilities, or other root causes of security incidents?",Incident Management,Incident Response
"Does the IRP include procedures for recovering systems, data, and services affected by security incidents?",Incident Management,Incident Response
"Are there established procedures for documenting all aspects of the incident response process, including incident details, actions taken, and lessons learned?",Incident Management,Incident Response
Is there a process for conducting post-incident reviews to identify areas for improvement in the IRP and security controls?,Incident Management,Incident Response
"Does the IRP address legal and regulatory requirements related to incident reporting and data breach notification (e.g., GDPR, CCPA)?",Incident Management,Incident Response
Are there procedures for maintaining confidentiality and protecting sensitive information during incident response activities?,Incident Management,Incident Response
"Does the IRP address communication with stakeholders, including customers, employees, and the public, during and after security incidents?",Incident Management,Incident Response
"Are there procedures for coordinating incident response activities with external partners, such as law enforcement, security vendors, and incident response providers?",Incident Management,Incident Response
Does the organization have cyber insurance coverage to help mitigate the financial impact of security incidents?,Incident Management,Incident Response
"Is the IRP regularly updated to reflect changes in the threat landscape, organizational structure, and technology environment?",Incident Management,Incident Response
Are incident response metrics tracked and analyzed to identify trends and measure the effectiveness of the IRP?,Incident Management,Incident Response
Does the organization have a dedicated security incident management platform or tool to streamline the incident response process?,Incident Management,Incident Response
Is there a process for managing vulnerabilities identified during incident investigation and remediation?,Incident Management,Incident Response
"Does the IRP include specific procedures for handling different types of security incidents, such as malware infections, phishing attacks, and data breaches?",Incident Management,Incident Response
Are there procedures for securely storing and managing incident response documentation?,Incident Management,Incident Response
Does the IRP address the handling of personally identifiable information (PII) and other sensitive data during incident response activities?,Incident Management,Incident Response
Are there procedures for escalating security incidents to appropriate levels of management based on their severity and potential impact?,Incident Management,Incident Response
Does the organization have a process for identifying and mitigating risks associated with insider threats during incident response?,Incident Management,Incident Response
Is there a process for tracking and managing remediation efforts following security incidents?,Incident Management,Incident Response
Does the IRP address the use of threat intelligence information to improve incident detection and response capabilities?,Incident Management,Incident Response
Are there procedures for conducting forensic analysis on compromised systems and data to determine the cause and extent of the incident?,Incident Management,Incident Response
Does the organization have a formal incident response communication plan that includes pre-approved messaging for different incident scenarios?,Incident Management,Incident Response
Is there a process for validating the effectiveness of security controls following incident remediation?,Incident Management,Incident Response
Does the IRP address the handling of incidents involving cloud-based services and infrastructure?,Incident Management,Incident Response
Are there procedures for securely disposing of compromised systems and data after incident remediation?,Incident Management,Incident Response
Does the organization participate in industry threat intelligence sharing initiatives?,Incident Management,Incident Response
"Is there a process for integrating incident response activities with other security functions, such as vulnerability management and threat hunting?",Incident Management,Incident Response
Does the organization have a process for tracking and managing the costs associated with security incidents?,Incident Management,Incident Response
Is there a process for ensuring business continuity and disaster recovery during and after security incidents?,Incident Management,Incident Response
"Does the incident response plan comply with industry standards and regulatory requirements, such as ISO 27035 and PCI DSS?",Incident Management,Incident Response
Is there a formal approval process for changes to the incident response plan?,Incident Management,Incident Response
