question,category,subcategory
"Does the organization employ a Security Information and Event Management (SIEM) system for centralized log management and analysis, as recommended by NIST SP 800-53?","Logging, Monitoring and Security Operations",Security Event Monitoring
"Are security event logs aggregated from various sources, including servers, network devices, and applications, into a central repository for analysis?","Logging, Monitoring and Security Operations",Security Event Monitoring
"Does the SIEM system correlate security events from multiple sources to identify potential security incidents, aligning with ISO 27001 requirements?","Logging, Monitoring and Security Operations",Security Event Monitoring
"Are real-time alerts configured within the SIEM system to notify security personnel of critical security events, as per CIS Control 6?","Logging, Monitoring and Security Operations",Security Event Monitoring
Are alert thresholds and rules regularly reviewed and adjusted to minimize false positives and ensure timely detection of genuine security threats?,"Logging, Monitoring and Security Operations",Security Event Monitoring
Does the organization define a clear process for triaging and investigating security alerts generated by the SIEM system?,"Logging, Monitoring and Security Operations",Security Event Monitoring
Is there a documented procedure for escalating security incidents identified through security event monitoring to the incident response team?,"Logging, Monitoring and Security Operations",Security Event Monitoring
"Are security event logs retained for a period that complies with legal, regulatory, and organizational requirements, aligning with ISO 27001?","Logging, Monitoring and Security Operations",Security Event Monitoring
"Are security event logs protected against unauthorized access, modification, and deletion, as recommended by NIST SP 800-53?","Logging, Monitoring and Security Operations",Security Event Monitoring
Does the organization conduct regular audits of security event logs to ensure their completeness and accuracy?,"Logging, Monitoring and Security Operations",Security Event Monitoring
Are security event monitoring tools and techniques regularly evaluated and updated to address emerging threats and vulnerabilities?,"Logging, Monitoring and Security Operations",Security Event Monitoring
Does the organization utilize threat intelligence feeds to enhance security event monitoring capabilities and identify known malicious activities?,"Logging, Monitoring and Security Operations",Security Event Monitoring
Is there a process for integrating vulnerability scanning data into the SIEM system to prioritize security alerts and incident investigations?,"Logging, Monitoring and Security Operations",Security Event Monitoring
"Does the organization monitor network traffic for suspicious patterns and anomalies, such as unusual port usage or excessive data transfers?","Logging, Monitoring and Security Operations",Security Event Monitoring
Are intrusion detection and prevention systems (IDS/IPS) integrated with the SIEM system to provide enhanced visibility into network security events?,"Logging, Monitoring and Security Operations",Security Event Monitoring
"Does the organization monitor user activity for potential insider threats, such as unauthorized access to sensitive data or systems?","Logging, Monitoring and Security Operations",Security Event Monitoring
"Are privileged access accounts and their activities closely monitored to prevent misuse of elevated privileges, as per CIS Control 6?","Logging, Monitoring and Security Operations",Security Event Monitoring
"Does the organization monitor cloud environments for security events and misconfigurations, aligning with cloud security best practices?","Logging, Monitoring and Security Operations",Security Event Monitoring
"Are security event monitoring dashboards and reports regularly reviewed to identify trends, patterns, and areas for improvement?","Logging, Monitoring and Security Operations",Security Event Monitoring
Does the organization provide security awareness training to employees on how to recognize and report suspicious activities?,"Logging, Monitoring and Security Operations",Security Event Monitoring
Are security event monitoring capabilities tested regularly through simulated attacks and penetration testing exercises?,"Logging, Monitoring and Security Operations",Security Event Monitoring
