question,category,subcategory
"Does the organization maintain a documented network architecture diagram that includes all network segments, security zones, and key network devices, aligned with ISO 27001 and NIST SP 800-53?",Network Security,Network Architecture
"Is the network architecture designed with network segmentation to limit the scope of impact from security incidents, adhering to the principles outlined in CIS Control 14?",Network Security,Network Architecture
"Are security zones implemented based on the sensitivity of the data and systems they contain, as recommended by NIST SP 800-53?",Network Security,Network Architecture
"Does the network architecture incorporate the principle of least privilege, restricting network access to only what is necessary for each user and system?",Network Security,Network Architecture
"Are there clearly defined ingress and egress points for network traffic, controlled by firewalls or other security devices, following ISO 27001 best practices?",Network Security,Network Architecture
"Is the network architecture regularly reviewed and updated to reflect changes in business requirements, technology, and threat landscape, aligned with NIST SP 800-53?",Network Security,Network Architecture
"Does the organization utilize intrusion detection and prevention systems (IDS/IPS) within the network architecture to identify and block malicious activity, as per CIS Control 6?",Network Security,Network Architecture
"Are network devices configured with secure baseline configurations, regularly hardened, and monitored for deviations, following ISO 27001 and NIST SP 800-53 guidance?",Network Security,Network Architecture
Does the organization employ network access control (NAC) mechanisms to authenticate and authorize devices before granting access to the network?,Network Security,Network Architecture
"Is wireless network access secured using strong encryption protocols (e.g., WPA3) and authentication mechanisms, as recommended by CIS Control 16?",Network Security,Network Architecture
"Does the organization implement virtual private networks (VPNs) for secure remote access to the network, adhering to ISO 27001 and NIST SP 800-53 recommendations?",Network Security,Network Architecture
"Are demilitarized zones (DMZs) utilized to host publicly accessible services, separating them from the internal network, as per industry best practices?",Network Security,Network Architecture
"Does the organization have a documented process for managing and controlling changes to the network architecture, aligned with ISO 27001 and NIST SP 800-53 change management controls?",Network Security,Network Architecture
"Is network traffic regularly monitored and analyzed for suspicious activity, using tools such as Security Information and Event Management (SIEM) systems, as recommended by CIS Control 6?",Network Security,Network Architecture
"Does the organization conduct regular vulnerability assessments and penetration testing of the network architecture to identify and address security weaknesses, following ISO 27001 and NIST SP 800-53 guidance?",Network Security,Network Architecture
"Is the network architecture designed to support business continuity and disaster recovery requirements, with redundant systems and failover capabilities, as per ISO 27001 and NIST SP 800-53 business continuity controls?",Network Security,Network Architecture
"Does the organization have a documented incident response plan that includes procedures for handling network security incidents, aligned with ISO 27001 and NIST SP 800-53 incident management controls?",Network Security,Network Architecture
"Are network devices physically secured to prevent unauthorized access and tampering, following ISO 27001 physical security controls?",Network Security,Network Architecture
"Does the organization have a documented policy on the use of personal devices (BYOD) on the network, outlining security requirements and restrictions?",Network Security,Network Architecture
"Is the network architecture designed to support compliance with relevant regulatory requirements (e.g., GDPR, HIPAA), as per ISO 27001 and NIST SP 800-53 compliance controls?",Network Security,Network Architecture
"Does the network architecture include measures to protect against Distributed Denial-of-Service (DDoS) attacks, such as rate limiting and traffic filtering?",Network Security,Network Architecture
"Are network devices configured to log security-relevant events, and are these logs regularly reviewed for suspicious activity, following ISO 27001 and NIST SP 800-53 logging and monitoring controls?",Network Security,Network Architecture
"Does the organization utilize network firewalls to control traffic flow between network segments and external networks, as per CIS Control 3?",Network Security,Network Architecture
"Is network address translation (NAT) used to hide internal network addresses from external networks, enhancing security?",Network Security,Network Architecture
"Are network security devices (e.g., firewalls, IDS/IPS) regularly updated with the latest security patches and signatures, following ISO 27001 and NIST SP 800-53 patch management controls?",Network Security,Network Architecture
"Does the network architecture incorporate measures to prevent data leakage, such as data loss prevention (DLP) systems?",Network Security,Network Architecture
"Are network ports that are not required for business operations disabled or blocked, reducing the attack surface?",Network Security,Network Architecture
"Does the organization have a documented process for securely disposing of network devices at the end of their lifecycle, preventing data leakage?",Network Security,Network Architecture
"Is the network architecture designed to support the use of encryption for sensitive data in transit, using protocols such as TLS/SSL?",Network Security,Network Architecture
Does the organization have a documented process for managing and controlling access to network resources based on user roles and responsibilities?,Network Security,Network Architecture
Is the network architecture designed to support the use of multi-factor authentication (MFA) for privileged access to network devices?,Network Security,Network Architecture
