question,category,subcategory
Does the facility have clearly defined and documented security perimeters?,Physical and Environmental Security,Facility Security
"Are physical access control systems, such as key cards or biometric scanners, implemented at facility entry points?",Physical and Environmental Security,Facility Security
Are there documented procedures for controlling and monitoring visitor access to the facility?,Physical and Environmental Security,Facility Security
Is there a process for verifying the identity of individuals requesting access to the facility?,Physical and Environmental Security,Facility Security
"Are physical security controls in place to prevent unauthorized entry to sensitive areas within the facility (e.g., data centers, server rooms)?",Physical and Environmental Security,Facility Security
Is the facility equipped with an alarm system that monitors for unauthorized entry and other security events?,Physical and Environmental Security,Facility Security
Is the alarm system regularly tested to ensure its functionality?,Physical and Environmental Security,Facility Security
Are surveillance cameras (CCTV) installed at strategic locations to monitor facility activity?,Physical and Environmental Security,Facility Security
Are CCTV recordings regularly reviewed and retained in accordance with a documented retention policy?,Physical and Environmental Security,Facility Security
Is the facility perimeter adequately lit to deter unauthorized access and enhance surveillance?,Physical and Environmental Security,Facility Security
Are windows and doors secured to prevent forced entry?,Physical and Environmental Security,Facility Security
Are external entrances equipped with doorbells or intercoms to control access?,Physical and Environmental Security,Facility Security
Are there documented procedures for managing keys and access cards?,Physical and Environmental Security,Facility Security
Are lost or stolen keys and access cards promptly deactivated and replaced?,Physical and Environmental Security,Facility Security
Is there a process for conducting background checks on personnel who have access to the facility?,Physical and Environmental Security,Facility Security
Are security awareness trainings provided to personnel regarding physical security best practices?,Physical and Environmental Security,Facility Security
Are emergency evacuation plans in place and regularly practiced?,Physical and Environmental Security,Facility Security
Are fire suppression systems installed and maintained in accordance with applicable regulations and standards?,Physical and Environmental Security,Facility Security
Are there designated fire exits that are clearly marked and unobstructed?,Physical and Environmental Security,Facility Security
Are fire extinguishers readily available and personnel trained in their use?,Physical and Environmental Security,Facility Security
Are there procedures for handling hazardous materials stored on-site?,Physical and Environmental Security,Facility Security
"Is the facility protected against environmental hazards such as flooding, earthquakes, or extreme weather events?",Physical and Environmental Security,Facility Security
Are critical systems and equipment protected from power outages with backup generators or uninterruptible power supplies (UPS)?,Physical and Environmental Security,Facility Security
"Are environmental monitoring systems in place to detect and alert to temperature, humidity, or water leaks?",Physical and Environmental Security,Facility Security
Are data centers and server rooms equipped with appropriate cooling systems?,Physical and Environmental Security,Facility Security
Are cable management systems in place to prevent tripping hazards and ensure proper airflow?,Physical and Environmental Security,Facility Security
Is there a process for securely disposing of sensitive documents and media?,Physical and Environmental Security,Facility Security
Is there a policy prohibiting the use of personal electronic devices in sensitive areas of the facility?,Physical and Environmental Security,Facility Security
Are there designated areas for smoking and eating to prevent damage or contamination of sensitive equipment?,Physical and Environmental Security,Facility Security
Is the facility regularly inspected for security vulnerabilities?,Physical and Environmental Security,Facility Security
Are security incidents reported and investigated in a timely manner?,Physical and Environmental Security,Facility Security
Does the facility have a dedicated security team or designated security personnel?,Physical and Environmental Security,Facility Security
Are the roles and responsibilities of security personnel clearly defined?,Physical and Environmental Security,Facility Security
Are there documented procedures for responding to security incidents and emergencies?,Physical and Environmental Security,Facility Security
"Is the facility compliant with all applicable local, state, and federal regulations related to physical security?",Physical and Environmental Security,Facility Security
Are regular audits conducted to assess the effectiveness of physical security controls?,Physical and Environmental Security,Facility Security
Is there a process for documenting and addressing audit findings?,Physical and Environmental Security,Facility Security
Are physical security policies and procedures reviewed and updated periodically?,Physical and Environmental Security,Facility Security
Are service providers who access the facility subject to security requirements and background checks?,Physical and Environmental Security,Facility Security
Are contracts with service providers reviewed to ensure they address physical security responsibilities?,Physical and Environmental Security,Facility Security
Is there a process for tracking and managing assets within the facility?,Physical and Environmental Security,Facility Security
Are assets tagged and inventoried to prevent theft or loss?,Physical and Environmental Security,Facility Security
Are high-value assets stored in secured areas?,Physical and Environmental Security,Facility Security
Are there procedures for securely transporting sensitive assets within and outside the facility?,Physical and Environmental Security,Facility Security
Are there designated loading docks and receiving areas for deliveries?,Physical and Environmental Security,Facility Security
Is there a process for inspecting deliveries to prevent unauthorized items from entering the facility?,Physical and Environmental Security,Facility Security
Are employees trained on how to identify and report suspicious activity?,Physical and Environmental Security,Facility Security
Are there communication channels in place for reporting security concerns?,Physical and Environmental Security,Facility Security
Are there procedures for handling bomb threats or other security emergencies?,Physical and Environmental Security,Facility Security
Is there a crisis management plan in place to address major disruptions or disasters?,Physical and Environmental Security,Facility Security
Are temperature and humidity levels in data centers and server rooms continuously monitored to prevent equipment failure?,Physical and Environmental Security,Environmental Controls
"Do environmental control systems (e.g., HVAC) have backup power sources to ensure continuous operation during power outages?",Physical and Environmental Security,Environmental Controls
"Is there a documented procedure for responding to environmental control system failures (e.g., HVAC malfunction, water leak)?",Physical and Environmental Security,Environmental Controls
Are environmental monitoring systems integrated with alerting mechanisms to notify relevant personnel of out-of-range conditions?,Physical and Environmental Security,Environmental Controls
"Are fire suppression systems (e.g., sprinklers, gaseous suppression) regularly inspected and maintained according to applicable standards (e.g., NFPA)?",Physical and Environmental Security,Environmental Controls
Is there a water leak detection system in place for areas housing critical IT infrastructure?,Physical and Environmental Security,Environmental Controls
"Are procedures in place to prevent and mitigate the impact of water damage from leaks, floods, or other sources?",Physical and Environmental Security,Environmental Controls
"Are electrical power systems (e.g., UPS, generators) regularly tested and maintained to ensure reliable power supply?",Physical and Environmental Security,Environmental Controls
Is there surge protection in place for electrical systems to protect equipment from power surges and spikes?,Physical and Environmental Security,Environmental Controls
Is there an uninterruptible power supply (UPS) system to provide temporary power during power outages?,Physical and Environmental Security,Environmental Controls
Are emergency power-off (EPO) switches readily accessible and clearly labeled in critical areas?,Physical and Environmental Security,Environmental Controls
Are environmental control systems physically secured to prevent unauthorized access or tampering?,Physical and Environmental Security,Environmental Controls
Are HVAC systems regularly inspected and cleaned to prevent dust and debris buildup that could lead to equipment overheating?,Physical and Environmental Security,Environmental Controls
Is there a documented plan for relocating critical IT infrastructure in the event of a prolonged environmental disruption?,Physical and Environmental Security,Environmental Controls
"Are environmental control systems compliant with relevant regulatory requirements (e.g., environmental protection laws, building codes)?",Physical and Environmental Security,Environmental Controls
"Are there procedures in place for the proper disposal of hazardous materials used in environmental control systems (e.g., refrigerants, batteries)?",Physical and Environmental Security,Environmental Controls
Is there an established temperature range and humidity level for the servers rooms and are they compliant with the manufacturer recommendations?,Physical and Environmental Security,Environmental Controls
Do you have a record of preventative maintenance activities performed for environmental control systems?,Physical and Environmental Security,Environmental Controls
Are personnel trained on how to respond to environmental emergencies and operate environmental control systems?,Physical and Environmental Security,Environmental Controls
Do environmental control systems logs regularly reviewed for anomalies and suspicious activity?,Physical and Environmental Security,Environmental Controls
Is the fire suppression system appropriate for the type of equipment and materials present in the protected area?,Physical and Environmental Security,Environmental Controls
Is the air filtration system adequate to remove dust and particles that could damage sensitive equipment?,Physical and Environmental Security,Environmental Controls
Are environmental sensors calibrated regularly to ensure accurate readings?,Physical and Environmental Security,Environmental Controls
Is there a mechanism to prevent condensation from forming on sensitive equipment?,Physical and Environmental Security,Environmental Controls
Is there a policy to monitor the consumption of water and electricity from each environment facility?,Physical and Environmental Security,Environmental Controls
Are there any regulations followed regarding the disposal of E-waste?,Physical and Environmental Security,Environmental Controls
Is there an inspection process for the physical environmental controls regularly?,Physical and Environmental Security,Environmental Controls
Are the electrical cable management processes compliant with industry standards to avoid the heat generation?,Physical and Environmental Security,Environmental Controls
Does the organization have processes for checking the physical facility regularly for physical intrusion and theft or tampering?,Physical and Environmental Security,Environmental Controls
Is there a log available for who performed the facility inspection?,Physical and Environmental Security,Environmental Controls
Does the organization have the proper controls in place to prevent any data loss or leakage from the physical environment?,Physical and Environmental Security,Environmental Controls
Is there a procedure to report environmental control failure immediately?,Physical and Environmental Security,Environmental Controls
Are there security alarms for any water leaks or intrusion attempts on the environmental control facilities?,Physical and Environmental Security,Environmental Controls
Does the organization retain the logs of all activities in the environmental control facility?,Physical and Environmental Security,Environmental Controls
Are the organizations compliant with the temperature standards to operate systems with maximum efficiency?,Physical and Environmental Security,Environmental Controls
Are the security and environment control policies and guidelines reviewed and updated regularly?,Physical and Environmental Security,Environmental Controls
Is there a policy to monitor the consumption of energy in an efficient way to reduce carbon footprint?,Physical and Environmental Security,Environmental Controls
Is there a mechanism to detect flooding in low-level areas with an automatic disconnection of the power supply?,Physical and Environmental Security,Environmental Controls
Are there measures that can prevent the entry of rodents and insects inside the premises?,Physical and Environmental Security,Environmental Controls
Have you performed a Business Impact Analysis (BIA) on critical environmental controls to determine Recovery Time Objectives (RTOs) and Recovery Point Objectives (RPOs)?,Physical and Environmental Security,Environmental Controls
"Are heating, ventilation, and air conditioning (HVAC) systems designed and maintained to prevent the introduction of contaminants?",Physical and Environmental Security,Environmental Controls
Is there a designated individual or team responsible for the oversight and maintenance of environmental controls?,Physical and Environmental Security,Environmental Controls
Are there documented procedures for investigating and resolving environmental incidents?,Physical and Environmental Security,Environmental Controls
Do environmental control systems undergo periodic vulnerability assessments and penetration testing?,Physical and Environmental Security,Environmental Controls
"Does your organization have a written policy regarding environmental controls, including acceptable temperature ranges and humidity levels?",Physical and Environmental Security,Environmental Controls
Are backup generators tested under load to ensure they can meet the power demands of critical systems during an outage?,Physical and Environmental Security,Environmental Controls
Are power distribution units (PDUs) monitored for power consumption and load balancing?,Physical and Environmental Security,Environmental Controls
Does the organization implement measures to reduce energy consumption in data centers and other facilities?,Physical and Environmental Security,Environmental Controls
Is there a process for decommissioning and disposing of obsolete environmental control equipment in an environmentally responsible manner?,Physical and Environmental Security,Environmental Controls
Does the Environmental Management systems meet ISO 14001 standards?,Physical and Environmental Security,Environmental Controls
Does the organization have a documented policy for physical access management?,Physical and Environmental Security,Physical Access Management
"Are physical access control systems, such as card readers or biometric scanners, regularly tested and maintained?",Physical and Environmental Security,Physical Access Management
Are physical access logs reviewed periodically for suspicious activity or anomalies?,Physical and Environmental Security,Physical Access Management
