question,category,subcategory
Does the organization have a documented and approved Acceptable Use Policy (AUP) that covers all users of company IT assets and resources?,Policy Management,Acceptable Use Policy
"Is the AUP reviewed and updated at least annually, or more frequently based on significant changes to the threat landscape or business environment?",Policy Management,Acceptable Use Policy
Does the AUP clearly define acceptable and unacceptable uses of company-owned and personal devices when accessing company resources?,Policy Management,Acceptable Use Policy
"Does the AUP outline the consequences of violating the policy, including disciplinary actions and potential legal ramifications?",Policy Management,Acceptable Use Policy
"Does the AUP address the use of company email, internet access, and other communication platforms, including social media?",Policy Management,Acceptable Use Policy
"Does the AUP specify guidelines for protecting sensitive company information, including customer data, intellectual property, and financial records?",Policy Management,Acceptable Use Policy
"Does the AUP address the use of personally owned devices (BYOD) and their security requirements, such as mandatory antivirus software and encryption?",Policy Management,Acceptable Use Policy
"Does the AUP include provisions for data privacy and compliance with relevant regulations, such as GDPR, CCPA, or HIPAA?",Policy Management,Acceptable Use Policy
"Does the AUP define the organization's policy on downloading and installing software, including restrictions on unauthorized applications?",Policy Management,Acceptable Use Policy
"Does the AUP address the use of cloud services and file-sharing platforms, specifying acceptable and prohibited activities?",Policy Management,Acceptable Use Policy
Does the AUP include guidelines for maintaining strong passwords and protecting user accounts from unauthorized access?,Policy Management,Acceptable Use Policy
"Does the AUP address the monitoring of user activities on company networks and systems, including the use of web filtering and intrusion detection tools?",Policy Management,Acceptable Use Policy
"Does the AUP prohibit activities that could disrupt or damage company networks or systems, such as launching denial-of-service attacks or spreading malware?",Policy Management,Acceptable Use Policy
"Does the AUP outline the organization's policy on data encryption, specifying when and how data should be encrypted to protect its confidentiality?",Policy Management,Acceptable Use Policy
"Does the AUP address the use of removable media, such as USB drives, and the security measures required to protect data stored on these devices?",Policy Management,Acceptable Use Policy
Does the organization provide regular training to employees on the AUP and their responsibilities for adhering to its provisions?,Policy Management,Acceptable Use Policy
Is there a process for employees to acknowledge and accept the AUP upon hire and periodically thereafter?,Policy Management,Acceptable Use Policy
"Does the AUP address the proper handling and disposal of company data and equipment, including secure wiping of hard drives and shredding of paper documents?",Policy Management,Acceptable Use Policy
Does the AUP include a clause that allows the organization to modify the policy as needed to address emerging threats and changing business requirements?,Policy Management,Acceptable Use Policy
"Is the AUP readily accessible to all users and easy to understand, avoiding overly technical jargon?",Policy Management,Acceptable Use Policy
"Does the AUP comply with relevant industry standards and best practices, such as ISO 27001, NIST SP 800-53, and CIS Controls?",Policy Management,Acceptable Use Policy
Does the AUP address the use of virtual private networks (VPNs) for secure remote access to company resources?,Policy Management,Acceptable Use Policy
Does the AUP include guidelines for reporting security incidents and suspected violations of the policy?,Policy Management,Acceptable Use Policy
Does the organization maintain a process for enforcing the AUP and taking disciplinary action against individuals who violate its provisions?,Policy Management,Acceptable Use Policy
"Does the AUP address the organization's policy on using social media for professional purposes, including guidelines for representing the company online?",Policy Management,Acceptable Use Policy
"Does the AUP address the use of company-provided mobile devices, outlining security requirements and usage restrictions?",Policy Management,Acceptable Use Policy
"Does the AUP explicitly prohibit activities that are illegal or unethical, even if they are not specifically mentioned elsewhere in the policy?",Policy Management,Acceptable Use Policy
"Does the AUP address the organization's policy on data ownership, clarifying who owns the data created and stored on company systems?",Policy Management,Acceptable Use Policy
"Does the AUP address the use of third-party applications and services, specifying which services are approved and which are prohibited?",Policy Management,Acceptable Use Policy
Does the AUP include a disclaimer stating that the organization is not responsible for the loss or damage of personal data stored on company systems?,Policy Management,Acceptable Use Policy
"Does the AUP specify the organization's policy on data retention, outlining how long data will be stored and when it will be deleted?",Policy Management,Acceptable Use Policy
"Does the AUP address the use of instant messaging platforms and collaboration tools, including guidelines for protecting sensitive information?",Policy Management,Acceptable Use Policy
Does the AUP address the use of company resources for personal gain or commercial purposes?,Policy Management,Acceptable Use Policy
Does the AUP include a clause that requires users to cooperate with security investigations and audits?,Policy Management,Acceptable Use Policy
Does the AUP address the organization's policy on acceptable noise levels and other workplace etiquette guidelines for using company resources?,Policy Management,Acceptable Use Policy
"Does the AUP address the use of company vehicles, including guidelines for safe driving and responsible use of company property?",Policy Management,Acceptable Use Policy
"Does the AUP address the use of company printers and other office equipment, including guidelines for conserving resources and protecting sensitive information?",Policy Management,Acceptable Use Policy
Does the AUP address the organization's policy on background checks and security clearances for employees who handle sensitive information?,Policy Management,Acceptable Use Policy
"Does the AUP address the organization's policy on termination of employment, including procedures for returning company property and revoking access privileges?",Policy Management,Acceptable Use Policy
"Does the AUP address the organization's policy on incident response, outlining the steps employees should take in the event of a security breach?",Policy Management,Acceptable Use Policy
"Does the AUP address the organization's policy on disaster recovery, outlining the procedures employees should follow in the event of a natural disaster or other emergency?",Policy Management,Acceptable Use Policy
"Is there a documented process for granting exceptions to the AUP, and who is authorized to approve such exceptions?",Policy Management,Acceptable Use Policy
"Are there technical controls in place to enforce the AUP, such as web filtering, application whitelisting, and data loss prevention (DLP) systems?",Policy Management,Acceptable Use Policy
Does the AUP address the use of public Wi-Fi networks and the risks associated with transmitting sensitive data over unsecured connections?,Policy Management,Acceptable Use Policy
Does the AUP include examples of acceptable and unacceptable use to help users understand the policy's intent?,Policy Management,Acceptable Use Policy
Does the organization monitor compliance with the AUP and conduct regular audits to identify and address any violations?,Policy Management,Acceptable Use Policy
"Is the AUP integrated with other relevant security policies and procedures, such as the password policy, data classification policy, and incident response plan?",Policy Management,Acceptable Use Policy
Does the AUP address the specific security risks associated with different roles and responsibilities within the organization?,Policy Management,Acceptable Use Policy
Does the AUP address the security risks associated with remote work arrangements and telecommuting?,Policy Management,Acceptable Use Policy
"Does the AUP address the use of screen savers, system timeouts, and other security features to protect unattended devices?",Policy Management,Acceptable Use Policy
Does the organization have a documented security policy framework that aligns with ISO 27001/NIST SP 800-53?,Policy Management,Security Policies
"Is there a defined process for the creation, approval, and maintenance of security policies?",Policy Management,Security Policies
"Are security policies reviewed and updated at least annually, or more frequently based on significant changes to the organization's risk profile or environment?",Policy Management,Security Policies
Does the security policy explicitly define roles and responsibilities for information security across the organization?,Policy Management,Security Policies
Is there a formal process for communicating security policies to all relevant personnel and ensuring their understanding and adherence?,Policy Management,Security Policies
"Does the security policy cover all aspects of information security, including but not limited to access control, data protection, incident response, and physical security?",Policy Management,Security Policies
"Are exceptions to security policies documented, justified, and approved by a designated authority?",Policy Management,Security Policies
Does the organization have a process for monitoring compliance with security policies?,Policy Management,Security Policies
Are the security policies aligned with the organization's overall business objectives and risk management strategy?,Policy Management,Security Policies
"Does the security policy framework address legal, regulatory, and contractual requirements related to information security?",Policy Management,Security Policies
"Does the organization utilize a formal policy management tool or system to track policy versions, approvals, and distribution?",Policy Management,Security Policies
Is there a mechanism in place for employees to report suspected violations of security policies?,Policy Management,Security Policies
Does the security policy define escalation procedures for security incidents and policy violations?,Policy Management,Security Policies
Are security policies readily accessible to all employees through a centralized repository or intranet?,Policy Management,Security Policies
"Does the security policy address the protection of sensitive data, including personally identifiable information (PII) and confidential business information?",Policy Management,Security Policies
Are specific security policies in place for remote access to organizational resources?,Policy Management,Security Policies
Does the security policy address the use of mobile devices and bring your own device (BYOD) programs?,Policy Management,Security Policies
"Are third-party service providers required to adhere to the organization's security policies, or equivalent security standards?",Policy Management,Security Policies
Does the security policy outline requirements for security awareness training for all personnel?,Policy Management,Security Policies
Is there a process for conducting security audits to assess compliance with security policies?,Policy Management,Security Policies
Does the security policy address data retention and disposal requirements?,Policy Management,Security Policies
