question,category,subcategory
"Does your organization have a documented policy for third-party risk management, specifically addressing supply chain and vendor risks?",Third-Party Management,Supply Chain/Vendor Management
"Do you maintain an inventory of all third-party vendors and suppliers, including a classification of their risk level based on the sensitivity of data they handle or the criticality of services they provide?",Third-Party Management,Supply Chain/Vendor Management
What criteria does your organization use to determine the inherent risk associated with a new or existing vendor?,Third-Party Management,Supply Chain/Vendor Management
"Does your organization perform due diligence assessments of potential vendors before engaging them, including reviewing their security policies, procedures, and certifications (e.g., ISO 27001, SOC 2)?",Third-Party Management,Supply Chain/Vendor Management
"How often are vendor risk assessments performed (e.g., annually, bi-annually)?",Third-Party Management,Supply Chain/Vendor Management
Are vendor risk assessments tailored to the specific services provided and the data accessed by each vendor?,Third-Party Management,Supply Chain/Vendor Management
"Does your organization require vendors to comply with specific security standards or frameworks, such as ISO 27001, NIST SP 800-53, or CIS Controls?",Third-Party Management,Supply Chain/Vendor Management
"Do your vendor contracts include security requirements, such as data protection clauses, incident response obligations, and audit rights?",Third-Party Management,Supply Chain/Vendor Management
Does your organization conduct regular audits of vendor security practices to ensure compliance with contractual obligations and security standards?,Third-Party Management,Supply Chain/Vendor Management
"What mechanisms are in place to monitor vendor performance against agreed-upon service level agreements (SLAs), including security-related metrics?",Third-Party Management,Supply Chain/Vendor Management
How does your organization manage the risk of data breaches or security incidents originating from third-party vendors?,Third-Party Management,Supply Chain/Vendor Management
Does your incident response plan include procedures for notifying and coordinating with vendors in the event of a security incident?,Third-Party Management,Supply Chain/Vendor Management
Does your organization have a process for securely terminating contracts with vendors and retrieving or destroying sensitive data held by them?,Third-Party Management,Supply Chain/Vendor Management
How are changes to a vendor's security posture or control environment communicated and assessed by your organization?,Third-Party Management,Supply Chain/Vendor Management
"What controls are in place to manage access to your organization's systems and data by third-party vendors, including the principle of least privilege?",Third-Party Management,Supply Chain/Vendor Management
Does your organization require vendors to implement multi-factor authentication (MFA) for accessing its systems and data?,Third-Party Management,Supply Chain/Vendor Management
"How does your organization ensure that vendors adequately protect the confidentiality, integrity, and availability of your data?",Third-Party Management,Supply Chain/Vendor Management
What data encryption methods are required for data at rest and in transit when handled by vendors?,Third-Party Management,Supply Chain/Vendor Management
"How does your organization ensure that vendors comply with data privacy regulations, such as GDPR or CCPA?",Third-Party Management,Supply Chain/Vendor Management
Does your organization require vendors to provide regular security awareness training to their employees who handle your data?,Third-Party Management,Supply Chain/Vendor Management
How does your organization manage the risks associated with subcontractors used by its vendors?,Third-Party Management,Supply Chain/Vendor Management
What controls are in place to prevent unauthorized access to your systems and data by vendor employees or subcontractors?,Third-Party Management,Supply Chain/Vendor Management
Does your organization require vendors to have cyber liability insurance to cover potential losses resulting from security breaches?,Third-Party Management,Supply Chain/Vendor Management
How are security vulnerabilities identified and remediated in vendor-supplied software or hardware?,Third-Party Management,Supply Chain/Vendor Management
Does your organization participate in threat intelligence sharing programs to stay informed about potential risks associated with vendors?,Third-Party Management,Supply Chain/Vendor Management
Does your vendor management process include a formal review and approval process for new vendors?,Third-Party Management,Supply Chain/Vendor Management
Are security considerations explicitly included in the evaluation criteria for selecting vendors?,Third-Party Management,Supply Chain/Vendor Management
Does your organization have a defined process for tracking and managing vendor security exceptions?,Third-Party Management,Supply Chain/Vendor Management
How does your organization ensure that vendor systems are regularly patched and updated to address known vulnerabilities?,Third-Party Management,Supply Chain/Vendor Management
What controls are in place to prevent data leakage or exfiltration from vendor systems?,Third-Party Management,Supply Chain/Vendor Management
Does your organization require vendors to undergo penetration testing or vulnerability assessments?,Third-Party Management,Supply Chain/Vendor Management
How does your organization verify that vendors are implementing appropriate security controls based on their risk assessment results?,Third-Party Management,Supply Chain/Vendor Management
Does your organization have a designated individual or team responsible for overseeing vendor risk management?,Third-Party Management,Supply Chain/Vendor Management
How is vendor risk management integrated into your overall enterprise risk management framework?,Third-Party Management,Supply Chain/Vendor Management
Does your organization have a formal communication plan for keeping stakeholders informed about vendor risks and security incidents?,Third-Party Management,Supply Chain/Vendor Management
How does your organization ensure that vendors are aware of and comply with all applicable legal and regulatory requirements?,Third-Party Management,Supply Chain/Vendor Management
Does your organization have a process for managing the security risks associated with open-source software used by vendors?,Third-Party Management,Supply Chain/Vendor Management
How does your organization monitor vendor compliance with its data retention and disposal policies?,Third-Party Management,Supply Chain/Vendor Management
Does your organization conduct background checks on vendor employees who have access to sensitive data or systems?,Third-Party Management,Supply Chain/Vendor Management
How does your organization manage the security risks associated with vendors located in different geographic regions or countries?,Third-Party Management,Supply Chain/Vendor Management
What controls are in place to prevent vendors from using your data for unauthorized purposes?,Third-Party Management,Supply Chain/Vendor Management
How does your organization ensure that vendors have appropriate security controls in place to protect against ransomware attacks?,Third-Party Management,Supply Chain/Vendor Management
Does your organization have a business continuity plan that addresses potential disruptions to services provided by vendors?,Third-Party Management,Supply Chain/Vendor Management
